%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1509030496886677660,21778,1509030496886562703,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.104395914731,-0.0639158661619,-0.254598200212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.665815429688,0.09580078125,9.00766845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496896437908,21779,1509030496896144468,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0511326929295,0.0394147841332,-0.33023197517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63228515625,0.184416503906,9.18968994141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496907628871,21780,1509030496907478001,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127831732324,0.103330650295,-0.323840388554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.572409667969,0.246687011719,9.36931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496915453379,21781,1509030496915239499,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521979573656,0.104395914731,-0.238619233671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.500559082031,0.277822265625,9.51780761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496926032798,21782,1509030496925873682,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841558904465,0.0703074527781,-0.0980043281149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.438288574219,0.234711914062,9.61360839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496935642829,21783,1509030496935467388,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0830906260105,0.0127831732324,-0.0170442309765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44068359375,0.222736816406,9.64953369141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496946599534,21784,1509030496946156795,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490021640575,-0.0031957933081,-0.0106526443603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47900390625,0.17244140625,9.63516357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496963929374,21785,1509030496963716870,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383495196971,-0.00213052887206,-0.0426105774413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.586779785156,0.0383203125,9.53217773438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496966401485,21786,1509030496966191243,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159789665405,0.0372842552611,-0.0649811305979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.696950683594,-0.110170898438,9.41482177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496974346059,21787,1509030496974123235,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521979573656,-0.0724379816502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76640625,-0.232316894531,9.33099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496984995497,21788,1509030496984802123,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0458063707494,0.0628506017259,-0.0628506017259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.768801269531,-0.289797363281,9.29746582031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030496996483949,21789,1509030496996275931,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0713727172141,0.0362189908251,-0.0703074527781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.716110839844,-0.275427246094,9.31423095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
